Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,MA5,MA10,MA20,STD5,STD10,STD20
2018-01-31,115.6500015258789,116.66000366210938,115.16000366210938,115.66999816894531,107.35127258300781,13141400,,,,,,,
2018-02-01,115.7699966430664,116.98999786376953,115.4800033569336,116.87000274658203,108.46497344970703,13800600,0.01037436110352652,,,,,,
2018-02-02,116.48999786376953,116.91999816894531,114.08999633789062,114.27999877929688,106.06122589111328,16477300,-0.022161509675824642,,,,,,
2018-02-05,113.0,114.58999633789062,103.9800033569336,108.80000305175781,100.97532653808594,30097600,-0.04795248508864802,,,,,,
2018-02-06,106.8499984741211,112.4800033569336,106.61000061035156,112.11000061035156,104.04728698730469,33114800,0.030422882049904176,105.38001708984375,,,2.9599120669149883,,
2018-02-07,111.55000305175781,114.44999694824219,111.1500015258789,112.87000274658203,104.75263214111328,21878300,0.006779082609762455,104.86028900146485,,,2.747794342777035,,
2018-02-08,113.11000061035156,113.11000061035156,107.83999633789062,107.87999725341797,100.12149810791016,27425800,-0.04421019251300984,103.19159393310547,,,2.5367877328618356,,
2018-02-09,109.0999984741211,111.05000305175781,106.2300033569336,110.04000091552734,102.12615966796875,28188000,0.020022288898414065,102.40458068847656,,,1.9713308556146938,,
2018-02-12,111.16999816894531,112.7300033569336,110.06999969482422,111.73999786376953,103.70389556884766,18043300,0.015448890920880753,102.9502944946289,,,1.8507441280477412,,
2018-02-13,111.31999969482422,113.05000305175781,110.80000305175781,112.43000030517578,104.34428405761719,16358200,0.006175163288291152,103.0096939086914,104.19485549926758,,1.8988936404385035,2.6565137129544913,
2018-02-14,112.62999725341797,115.2699966430664,112.52999877929688,115.02999877929688,106.75727081298828,15186900,0.023125241379189365,103.4106216430664,104.13545532226563,,2.4812281213855205,2.5837377229127627,
2018-02-15,115.73999786376953,115.98999786376953,114.22000122070312,115.51000213623047,107.20277404785156,12130200,0.0041730481818300635,104.82687683105469,104.00923538208008,,2.1306785542109448,2.370787675077721,
2018-02-16,114.55000305175781,116.06999969482422,114.5,114.68000030517578,106.43245697021484,13214300,-0.007185607690458395,105.68813629150391,104.04635848999024,,1.5599951524532025,2.4090861422570535,
2018-02-20,114.6500015258789,115.38999938964844,113.97000122070312,114.70999908447266,106.4603042602539,13461500,0.0002616428374555557,106.23941802978516,104.59485626220703,,1.1038357955799043,2.251435671305056,
2018-02-21,115.0,117.44999694824219,114.66999816894531,115.19000244140625,106.9057846069336,14212500,0.004184473732018024,106.75171813964843,104.88070602416992,,0.3217407668682246,2.3533456108679918,
2018-02-22,115.5,116.43000030517578,114.76000213623047,114.9800033569336,106.71088409423828,17070400,-0.0018231053952030285,106.74244079589843,105.07653121948242,,0.32220906481967354,2.421977930332767,
2018-02-23,115.30999755859375,117.38999938964844,115.30999755859375,117.30999755859375,108.8733139038086,12162500,0.020264379101766483,107.07654876708985,105.95171279907227,,1.022967196798196,1.9719581778824913,
2018-02-26,118.13999938964844,118.9000015258789,117.31999969482422,118.7699966430664,110.22832489013672,16511200,0.012445758632140924,107.83572235107422,106.76192932128906,,1.644913628189103,1.888197776472189,
2018-02-27,118.91000366210938,119.33000183105469,117.3499984741211,117.36000061035156,108.91972351074219,17563300,-0.01187173424524779,108.32760620117188,107.28351211547852,,1.4913499217554709,1.6556850481730008,
2018-02-28,117.81999969482422,118.48999786376953,115.33999633789062,115.5,107.19348907470703,17735600,-0.0158486854390969,108.38514709472656,107.5684326171875,105.88164405822754,1.426936280552099,1.3008066923388633,2.671955535344499
2018-03-01,115.4800033569336,116.63999938964844,112.6500015258789,113.43000030517578,105.27236938476562,18690000,-0.017921981143859456,108.09744415283203,107.41994247436523,105.77769889831544,1.9116061413099172,1.4765693017952215,2.6521381342110724
2018-03-02,112.38999938964844,113.55999755859375,111.12000274658203,113.31999969482422,105.17027282714844,18353700,-0.0009698324281467441,107.3568359375,107.21669235229493,105.6129638671875,2.227151073362129,1.640564178092213,2.577714882395657
2018-03-05,112.05000305175781,115.93000030517578,111.88999938964844,115.05999755859375,106.78512573242188,13933000,0.01535465166975003,106.66819610595704,107.25195922851563,105.64915885925294,1.5452416704071152,1.6255544178748882,2.5893962853668424
2018-03-06,115.63999938964844,115.81999969482422,114.31999969482422,115.16000366210938,106.87793731689453,10674400,0.0008691433740053434,106.2598388671875,107.2937225341797,105.94428939819336,0.960719109396675,1.6082280640455209,2.354364777018412
2018-03-07,113.75,115.0999984741211,113.11000061035156,114.7300033569336,106.47886657714844,13006500,-0.0037338926046340815,106.11691436767578,107.25103073120117,106.06586837768555,0.8315735375728688,1.6252468547116223,2.3136797100163924
2018-03-08,115.11000061035156,115.2300033569336,113.20999908447266,114.73999786376953,106.48815155029297,11173700,8.720015006735693e-05,106.36007080078124,107.22875747680663,106.15264434814453,0.6882938610001247,1.6349689540164163,2.2942983618908785
2018-03-09,116.55000305175781,118.08000183105469,115.66999816894531,118.04000091552734,109.55081176757812,15366600,0.028760572633648396,107.23617858886719,107.2965072631836,106.62411003112793,1.3059841283274631,1.7223879185445297,1.929541989953974
2018-03-12,118.0,118.75,117.25,117.66000366210938,109.1981430053711,12339300,-0.003219225458185093,107.71878204345703,107.19348907470703,106.97770919799805,1.5250986356776128,1.5496995301676113,1.6957059451471148
2018-03-13,118.19999694824219,118.47000122070312,115.83000183105469,116.25,107.8895492553711,13312300,-0.011983663036610692,107.92110443115234,107.09047164916993,107.18699188232422,1.4509628904494927,1.4534482466620515,1.5195318906679671
2018-03-14,116.55999755859375,116.58999633789062,114.5999984741211,114.94999694824219,106.68303680419922,12905100,-0.011182848195204653,107.9619384765625,107.03942642211913,107.30392951965332,1.402283634193788,1.458383452944857,1.3720913904658125
2018-03-15,115.87000274658203,116.0,114.83000183105469,115.23999786376953,106.95217895507812,8748000,0.0025228204871303728,108.05474395751953,107.2074073791504,107.31367492675781,1.2913268044552089,1.3226608782804883,1.368692310025414
2018-03-16,115.33999633789062,116.5999984741211,115.33999633789062,115.44000244140625,107.13780212402344,19888900,0.0017355716429421353,107.5721420288086,107.40416030883789,107.3104263305664,1.0134273517823036,1.116178836008438,1.3690464472760928
